,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
138,35,(주)청학에너지,37.628133,127.04186509999998,매바위공영주차장,126.920786,37.586576,139.0,1.220909866862698
139,35,(주)청학에너지,37.628133,127.04186509999998,세종로,126.975866,37.573397,140.0,1.2806751044229578
140,36,(주)삼표에너지 김포충전소,37.5380632,126.7959011,비봉,126.9565401309,37.612215534899995,141.0,1.3106279333285158
141,36,(주)삼표에너지 김포충전소,37.5380632,126.7959011,종묘,126.994045,37.574496,142.0,1.885395461880946
142,36,(주)삼표에너지 김포충전소,37.5380632,126.7959011,초동 공영주차장,126.97616311,37.56645111,143.0,1.5099787779274263
143,36,(주)삼표에너지 김포충전소,37.5380632,126.7959011,동산 공영주차장,126.97595311,37.55660411,144.0,1.6189988000205957
144,37,서울와사공업(주),37.6361977,127.0223295,서소문삼성생명뒤 공영주차장,126.98960911,37.56736110000001,145.0,1.2549177401415108
145,37,서울와사공업(주),37.6361977,127.0223295,신당사거리 공영주차장,126.99596711,37.56531311,146.0,1.4717877711328733
146,37,서울와사공업(주),37.6361977,127.0223295,훈련원 화물대기,127.003609,37.567026,147.0,1.3464665506898497
147,37,서울와사공업(주),37.6361977,127.0223295,충현어린이공원 공영주차장,127.02288811,37.56505411,148.0,1.257631666564062
148,38,남서울가스(주),37.4977796,127.0733765,충현 공영주차장,126.96621811,37.55954811,149.0,1.5333325726174207
149,38,남서울가스(주),37.4977796,127.0733765,다산아트 공영주차장,127.01677611,37.56744411,150.0,1.882160045500309
150,38,남서울가스(주),37.4977796,127.0733765,신당동 공영주차장,127.014296,37.562026,151.0,1.882160045500309
151,38,남서울가스(주),37.4977796,127.0733765,중랑초교,127.075783364,37.5891843026,152.0,0.8485135226314016
152,39,복지마곡충전소,37.5651159,126.8065389,면목2동,127.080895225,37.5879339365,153.0,0.8485135226314016
153,39,복지마곡충전소,37.5651159,126.8065389,중곡초교,127.082678629,37.5747601767,154.0,0.6877008800374538
154,39,복지마곡충전소,37.5651159,126.8065389,용마폭포,127.089120441,37.5733535419,155.0,0.6877008800374538
155,39,복지마곡충전소,37.5651159,126.8065389,상봉2동,127.084324844,37.593049171,156.0,0.7364487484584193
156,40,(주)영동가스,37.5188926,127.0096661,중화1동,127.08165868100001,37.6027493119,157.0,0.7274608651700437
157,40,(주)영동가스,37.5188926,127.0096661,화랑대역,127.08669,37.62009000000001,158.0,1.0017370865995232
